distance,timestamp,altitude,calories,enhanced_altitude,heart_rate,position_lat,position_long,cadence,fractional_cadence,enhanced_speed,power,speed
555.02,2024-09-21 20:34:23,10.399999999999977,0.0,10.399999999999977,,163671671.0,1199711395.0,82.0,0.0,3.585,251.0,3.585
557.97,2024-09-21 20:34:24,10.600000000000023,0.0,10.600000000000023,164.0,163671300.0,1199711260.0,82.0,0.0,,,
560.93,2024-09-21 20:34:25,10.600000000000023,0.0,10.600000000000023,,163670926.0,1199711125.0,82.0,0.0,,,
563.88,2024-09-21 20:34:26,10.600000000000023,0.0,10.600000000000023,,163670551.0,1199710993.0,82.0,0.0,3.603,252.0,3.603
568.62,2024-09-21 20:34:27,10.600000000000023,0.0,10.600000000000023,,163670176.0,1199710863.0,82.0,0.0,,,
573.35,2024-09-21 20:34:28,10.600000000000023,0.0,10.600000000000023,,163669804.0,1199710734.0,82.0,0.0,3.623,253.0,3.623
576.18,2024-09-21 20:34:29,10.600000000000023,0.0,10.600000000000023,,163669434.0,1199710607.0,82.0,0.0,,,
579.0,2024-09-21 20:34:30,10.600000000000023,0.0,10.600000000000023,,163669063.0,1199710481.0,82.0,0.0,,,
581.82,2024-09-21 20:34:31,10.800000000000011,0.0,10.800000000000011,164.0,163668689.0,1199710357.0,94.0,0.0,3.621,253.0,3.621
587.04,2024-09-21 20:34:32,10.800000000000011,0.0,10.800000000000011,,163668315.0,1199710233.0,94.0,0.0,,,
592.25,2024-09-21 20:34:33,10.800000000000011,0.0,10.800000000000011,,163667940.0,1199710109.0,82.0,0.0,3.648,255.0,3.648
595.17,2024-09-21 20:34:34,10.800000000000011,0.0,10.800000000000011,163.0,163667566.0,1199709984.0,82.0,0.0,,,
598.1,2024-09-21 20:34:35,10.800000000000011,0.0,10.800000000000011,,163667191.0,1199709859.0,82.0,0.0,,,
601.02,2024-09-21 20:34:36,11.0,0.0,11.0,,163666815.0,1199709733.0,82.0,0.0,3.646,255.0,3.646
605.56,2024-09-21 20:34:37,11.0,0.0,11.0,,163666439.0,1199709608.0,82.0,0.0,,,
610.11,2024-09-21 20:34:38,11.0,0.0,11.0,,163666065.0,1199709484.0,82.0,0.0,3.659,256.0,3.659
613.1,2024-09-21 20:34:39,11.0,0.0,11.0,,163665694.0,1199709356.0,82.0,0.0,,,
616.08,2024-09-21 20:34:40,11.199999999999989,0.0,11.199999999999989,165.0,163665327.0,1199709222.0,82.0,0.0,,,
619.07,2024-09-21 20:34:41,11.199999999999989,0.0,11.199999999999989,,163664965.0,1199709083.0,94.0,0.0,3.656,256.0,3.656
624.05,2024-09-21 20:34:42,11.199999999999989,0.0,11.199999999999989,164.0,163664604.0,1199708945.0,94.0,0.0,,,
629.04,2024-09-21 20:34:43,11.399999999999977,0.0,11.399999999999977,,163664242.0,1199708810.0,82.0,0.0,3.652,255.0,3.652
631.91,2024-09-21 20:34:44,11.399999999999977,0.0,11.399999999999977,,163663878.0,1199708678.0,82.0,0.0,,,
634.79,2024-09-21 20:34:45,11.399999999999977,0.0,11.399999999999977,,163663514.0,1199708545.0,82.0,0.0,,,
637.66,2024-09-21 20:34:46,11.600000000000023,0.0,11.600000000000023,,163663151.0,1199708405.0,82.0,0.0,3.646,255.0,3.646
640.6,2024-09-21 20:34:47,11.600000000000023,0.0,11.600000000000023,,163662790.0,1199708256.0,82.0,0.0,,,
643.55,2024-09-21 20:34:48,11.600000000000023,0.0,11.600000000000023,,163662430.0,1199708107.0,82.0,0.0,,,
646.49,2024-09-21 20:34:49,11.600000000000023,0.0,11.600000000000023,,163662069.0,1199707962.0,82.0,0.0,3.646,255.0,3.646
650.93,2024-09-21 20:34:50,11.800000000000011,0.0,11.800000000000011,,163661710.0,1199707820.0,82.0,0.0,,,
655.37,2024-09-21 20:34:51,11.800000000000011,0.0,11.800000000000011,165.0,163661353.0,1199707682.0,82.0,0.0,3.641,254.0,3.641
658.11,2024-09-21 20:34:52,11.800000000000011,0.0,11.800000000000011,,163660997.0,1199707548.0,82.0,0.0,,,
660.86,2024-09-21 20:34:53,12.0,0.0,12.0,,163660642.0,1199707418.0,82.0,0.0,,,
663.6,2024-09-21 20:34:54,12.0,0.0,12.0,,163660283.0,1199707286.0,94.0,0.0,3.606,252.0,3.606
668.56,2024-09-21 20:34:55,12.0,0.0,12.0,,163659926.0,1199707150.0,94.0,0.0,,,
673.53,2024-09-21 20:34:56,12.200000000000045,0.0,12.200000000000045,165.0,163659571.0,1199707005.0,82.0,0.0,3.595,251.0,3.595
676.36,2024-09-21 20:34:57,12.200000000000045,0.0,12.200000000000045,165.0,163659220.0,1199706852.0,82.0,0.0,,,
679.2,2024-09-21 20:34:58,12.200000000000045,0.0,12.200000000000045,,163658872.0,1199706693.0,82.0,0.0,,,
682.03,2024-09-21 20:34:59,12.399999999999977,0.0,12.399999999999977,,163658528.0,1199706530.0,82.0,0.0,3.574,259.0,3.574
686.26,2024-09-21 20:35:00,12.399999999999977,0.0,12.399999999999977,,163658187.0,1199706364.0,82.0,0.0,,,
690.49,2024-09-21 20:35:01,12.399999999999977,0.0,12.399999999999977,,163657849.0,1199706195.0,82.0,0.0,3.557,259.0,3.557
693.28,2024-09-21 20:35:02,12.399999999999977,0.0,12.399999999999977,,163657512.0,1199706024.0,82.0,0.0,,,
696.08,2024-09-21 20:35:03,12.600000000000023,0.0,12.600000000000023,166.0,163657177.0,1199705851.0,82.0,0.0,,,
698.87,2024-09-21 20:35:04,12.600000000000023,0.0,12.600000000000023,,163656843.0,1199705674.0,94.0,0.0,3.537,259.0,3.537
703.78,2024-09-21 20:35:05,12.600000000000023,0.0,12.600000000000023,,163656511.0,1199705493.0,94.0,0.0,,,
708.69,2024-09-21 20:35:06,12.600000000000023,0.0,12.600000000000023,,163656182.0,1199705304.0,82.0,0.0,3.533,260.0,3.533
711.61,2024-09-21 20:35:07,12.600000000000023,0.0,12.600000000000023,,163655856.0,1199705107.0,82.0,0.0,,,
714.53,2024-09-21 20:35:08,12.600000000000023,0.0,12.600000000000023,,163655537.0,1199704901.0,82.0,0.0,,,
717.45,2024-09-21 20:35:09,12.799999999999955,0.0,12.799999999999955,,163655224.0,1199704687.0,82.0,0.0,3.529,261.0,3.529
720.25,2024-09-21 20:35:10,12.799999999999955,0.0,12.799999999999955,167.0,163654916.0,1199704469.0,82.0,0.0,,,
